ID,Назва,Cost (закуп),Supplier Price (RRP),Rozetka Price (поточна),Base Before Round,Final Price (рекоменд.),Target Profit,Net Profit,Comm Used (%),Used RRP?,RRP Fallback?,Old Price Rec.
550052649,Крісло ігрове Anda Seat Kaiser 3E Maroon PVC Size ...,13599.18,16999.0,16999,16999.0,16999,1000.0,1359.94,12.0,True,False,19999.0
550052646,Крісло ігрове Anda Seat Kaiser 4 Grey Fabric Size ...,19199.22,23999.0,23999,23999.0,23999,1000.0,3119.85,7.0,True,False,28999.0
550052643,Крісло ігрове Anda Seat X-Air Pro Size XL Mesh Spa...,15999.18,19999.0,19999,19999.0,19999,1000.0,1599.94,12.0,True,False,21999.0
550052640,Крісло ігрове Anda Seat Kaiser 4 Cyber Green PVC S...,19199.22,23999.0,23999,23999.0,23999,1000.0,3119.85,7.0,True,False,29999.0
550052637,Крісло ігрове Anda Seat Kaiser 3E Black PVC Size X...,13599.18,16999.0,16999,16999.0,16999,1000.0,1359.94,12.0,True,False,19999.0
550052634,Крісло ігрове Anda Seat X-Air Mega Size XL Mesh Gr...,13999.2,17499.0,17499,17499.0,17499,1000.0,1399.92,12.0,True,False,18999.0
550052631,Крісло ігрове Anda Seat Kaiser 3E XL Dark Blue Fab...,13599.18,16999.0,16999,16999.0,16999,1000.0,1359.94,12.0,True,False,19999.0
550052628,Крісло ігрове Anda Seat Kaiser 3 Pro Fabric Black ...,16799.22,20999.0,20999,20999.0,20999,1000.0,2729.85,7.0,True,False,25999.0
550052625,Крісло ігрове Anda Seat X-Air Pro Size XL Mesh Gra...,15999.18,19999.0,19999,19999.0,19999,1000.0,1599.94,12.0,True,False,21999.0
550052622,Крісло ігрове Anda Seat Kaiser 4 Green Size XL,19199.22,23999.0,23999,23999.0,23999,1000.0,3119.85,7.0,True,False,28999.0
550052619,Крісло ігрове Anda Seat Kaiser 4 Black Fabric Size...,19199.22,23999.0,23999,23999.0,23999,1000.0,3119.85,7.0,True,False,28999.0
550052616,Крісло ігрове Anda Seat Novis XL Fabric Dark Gray ...,8799.18,10999.0,10999,11136.0,11199,1000.0,1055.94,12.0,False,False,13438.8
550052613,Крісло ігрове Anda Seat Kaiser 4 Dark Grey Fabric ...,19199.22,23999.0,23999,23999.0,23999,1000.0,3119.85,7.0,True,False,28999.0
550052610,Крісло ігрове Anda Seat Novis Gray Fabric Size XL,8799.18,10999.0,10999,11136.0,11199,1000.0,1055.94,12.0,False,False,13438.8
550052607,Крісло ігрове Anda Seat Kaiser 3 Dark Gray Fabric ...,15999.18,19999.0,19999,19999.0,19999,1000.0,1599.94,12.0,True,False,24999.0
550052604,Крісло ігрове Anda Seat Kaiser 4 White Size XL,19199.22,23999.0,23999,23999.0,23999,1000.0,3119.85,7.0,True,False,28999.0
550052601,Крісло ігрове Anda Seat Kaiser 4 Orange Size XL,19199.22,23999.0,23999,23999.0,23999,1000.0,3119.85,7.0,True,False,28999.0
550052598,Крісло ігрове Anda Seat Kaiser 3 Pro XL Fabric Dar...,16799.22,20999.0,20999,20999.0,20999,1000.0,2729.85,7.0,True,False,25999.0
550052595,Крісло ігрове Anda Seat Kaiser 2 Pro Grey Fabric S...,14399.22,17999.0,17999,17999.0,17999,1000.0,1439.9,12.0,True,False,22999.0
550052592,Крісло ігрове Anda Seat X-Air Mega Size XL Mesh Gr...,13999.2,17499.0,17499,17499.0,17499,1000.0,1399.92,12.0,True,False,18999.0
550052589,Крісло ігрове Anda Seat Kaiser 4 V2 Size XL Gray F...,19999.2,24999.0,24999,24999.0,24999,1000.0,3249.87,7.0,True,False,29999.0
550052586,Крісло ігрове Anda Seat Kaiser 4 Pink Size XL,19199.22,23999.0,23999,23999.0,23999,1000.0,3119.85,7.0,True,False,28999.0
550052583,Крісло ігрове Anda Seat Kaiser 3E Dark Grey Fabric...,13599.18,16999.0,16999,16999.0,16999,1000.0,1359.94,12.0,True,False,19999.0
550052580,Крісло ігрове Anda Seat Kaiser 4 V2 Size XL Black ...,19999.2,24999.0,24999,24999.0,24999,1000.0,3249.87,7.0,True,False,29999.0
550052577,Крісло ігрове Anda Seat Kaiser 3E Grey Fabric Size...,13599.18,16999.0,16999,16999.0,16999,1000.0,1359.94,12.0,True,False,19999.0
550052574,Крісло ігрове Anda Seat X-Air Mega Size XL Mesh Sp...,13999.2,17499.0,17499,17499.0,17499,1000.0,1399.92,12.0,True,False,18999.0
550052571,Крісло ігрове Anda Seat Phantom 3 Grey Size L,11199.18,13999.0,13999,13999.0,13999,1000.0,1119.94,12.0,True,False,15999.0
550052568,Крісло ігрове Anda Seat Kaiser 3 Dark Gray Fabric ...,17599.2,21999.0,21999,21999.0,21999,1000.0,2859.87,7.0,True,False,25999.0
550052565,Крісло ігрове GamePro FGC750B Fabric Black,7999.2,9999.0,9999,10227.0,10299,1000.0,1063.92,12.0,False,False,12358.8
550052562,Стілець із регулюванням висоти OfficePro S360,2399.22,2999.0,2999,3469.0,3499,479.84,504.95,17.0,False,False,4198.8
550052559,Крісло офісне OfficePro Harmony OC310-W-LG-LG,4399.2,5499.0,5499,6024.0,6099,600.0,662.97,17.0,False,False,7318.8
550052556,Крісло офісне OfficePro OC680B Black,8799.18,10999.0,10999,11136.0,11199,1000.0,1055.94,12.0,False,False,13438.8
550052553,Крісло офісне OfficePro Elegant OC600-B-DG-DG,5999.22,7499.0,7499,7954.0,7999,1000.0,1039.9,12.0,False,False,9598.8
550052550,Крісло офісне Officepro Atlas OC630G-DG-DG,7199.22,8999.0,8999,8999.0,8999,700.0,719.9,12.0,True,False,10999.0
550052547,Крісло офісне OfficePro Wave OC599-G-G-G,5599.2,6999.0,6999,7045.0,7099,600.0,647.92,12.0,False,False,8518.8
